"Supplementary Table S1(related to STAR methods):� Parameters used for the deterministic ODE model for convergent, divergent, and tandem oriented reporters",,,,
=,Description ,Numerical Value ,Source ,
,,,,
h0,Bps per right-handed turn in B-DNA ,10.5 bp/turn ,Berg et al. ,
,,,,
TLS,mSpinach-tRNA and T500 term. length ,203 bp ,Larson et al.; Paige et al. ,
,,,,
TLG,MG aptamer and T500 terminator transcript length ,68 bp ,Babendure et al. ,
,,,,
NS,Intergenic spacer length ,150 bp ,NA ,
,,,,
PLS,Lac promoter length ,40 bp ,Lutz & Bujard ,
,,,,
PLG,Tet promoter length ,44 bp ,Lutz & Bujard ,
,,,,
pLen,Length of ColE1-mSpinach-MG reporter plasmid ,2892 bp ,NA ,
,,,,
"KM,_",Michaelis constant for supercoiling Hill functions ,50 nM ,NA ,
,,,,
Rtot,Total RNAP concentration ,18.931 _M (RNAP) ,Bremer & Dennis ,
,,,,
Ribotot,Total Ribosome concentration ,11.291 _M (ribosome) ,Bremer & Dennis ,
,,,,
ptot Lac,Total Plasmid Concentration ,11 nM ,NA ,
,,,,
ptot Tet,Total Plasmid Concentration ,11 nM ,NA ,
,,,,
G0,Gyrase Concentration ,12 nM ,Maier et al. ,
,,,,
T0,Topoisomerase Concentration ,2 nM ,Maier et al. ,
,,,,
LacI tot,LacI concentration ,10 nM ,Kalisky et al. ,
,,,,
T etRtot,TetR concentration ,0 nM (TX-TL) ,Kalisky et al. ,
,,,,
IP T Gtot,IPTG concentration ,0 nM (TX-TL) ,NA ,
,,,,
aT ctot,aTc concentration ,0 nM (TX-TL) ,NA ,
,,,,
"kf,max,l",Leaky forward transcription initiation rate ,7 _ 10_2 nM/s ,Siegal-Gaskins et al. ,
,,,,
kr,Reverse transcription initation rate ,550 s_1 ,Bintu et al. ,
,,,,
"kcat,max",mSpinach-MG averaged transcription rate ,"kcat,g /(105.5) ",NA ,
,,,,
"kcat,g",Per base-pair transcription rate ,85 nt/s ,Bremer & Dennis ,
,,,,
kopen,Rate of open complex formation ,0.04/s ,Buc & McClure ,
,,,,
kl,Fraction of terminator-escaped transcripts ,0.02,Larson et al. ,
,,,,
_l,Constitutive production rate of LacI ,0 nM/s (TX-TL) ,NA ,
,,,,
_t,Constitutive production rate of TetR ,0 nM/s (TX-TL) ,NA ,
,,,,
k0 TL,Averaged translation rate of RFP/CFP ,21/(TLC + TLR) /s ,Bremer & Dennis ,
,,,,
"kf,C",Folding rate of CFP ,1/(30 _ 60)/s ,NA ,
,,,,
"kf,R",Folding rate of RFP ,1/(110 _ 60)/s ,Zhang et al. ,
,,,,
kB16,Relative Ribosomal Affinity ,0.75,NA ,
,,,,
kBgl,Relative Ribosomal Affinity ,1.25,NA ,
,,,,
"_m,S",mSpinach degradation rate ,log(2)/(30 _ 60) /s ,NA ,
,,,,
_MG,MG degradation rate ,log(2)/(60 _ 60) /s ,NA ,
,,,,
_,Negative coils introduced per sec. per TopoI ,0.5 /s ,Liu & Wang ,
,,,,
_,Positive coils introduced per sec. per Gyrase ,0.5 /s ,Liu & Wang ,
,,,,
_0,Natural superhelical density of DNA ,_0.065 ,Rhee et al. ,
,,,,
"kM,gyr",Hill constant for Gyr. Maintenance Function ,200 nM ,NA ,
,,,,
"ka,L",IPTG binding rate to free/DNA bound LacI ,6_103 /s ,Kalisky et al. ,
,,,,
"kua,L",IPTG-LacI disassociation rate ,1 /s ,Xie et al. ,
,,,,
"kseq,L",Binding rate of LacI to promoter ,10 /s ,Kalisky et al. ,
,,,,
"ku,L",Fall off rate of LacI to DNA ,0.022 /s ,Nelson & Sauer ,
,,,,
"ka,T",aTc binding rate to free and DNA bound TetR ,"ka,L ",NA ,
,,,,
"kua,T",aTc-TetR disassociation rate ,"kua,L ",NA ,
,,,,
"kseq,T",Binding rate of TetR to promoter ,"kseq,L ",NA ,
,,,,
"ku,T",Fall off rate of TetR to DNA ,"ku,L ",NA ,
,,,,
_p,Degradation rate for untagged proteins ,0/s (TX-TL) ,Shin & Noireaux ,
,,,,
,,,,
,,,,
